place,slug,municipality,province,placecode
1e Exloërmond,1e-exlormond,Borger-Odoorn,Drenthe,1779
2e Exloërmond,2e-exlormond,Borger-Odoorn,Drenthe,1780
2e Valthermond,2e-valthermond,Borger-Odoorn,Drenthe,1781
2e Vlotbrug,2e-vlotbrug,Nissewaard,Zuid-Holland,
's-Graveland,s-graveland,Wijdemeren,Noord-Holland,3000
's-Gravendeel,s-gravendeel,Hoeksche Waard,Zuid-Holland,2380
's-Gravenhage,s-gravenhage,Den Haag,Zuid-Holland,1245
's Gravenmoer,s-gravenmoer,Dongen,Noord-Brabant,2800
's-Gravenmoerse Vaart,s-gravenmoerse-vaart,Dongen,Noord-Brabant,
's-Gravenpolder,s-gravenpolder,Borsele,Zeeland,1263
's-Gravenweg,s-gravenweg,Zuidplas,Zuid-Holland,
's-Gravenzande,s-gravenzande,Westland,Zuid-Holland,2662
's-Heer Abtskerke,s-heer-abtskerke,Borsele,Zeeland,1264
's-Heer Arendskerke,s-heer-arendskerke,Goes,Zeeland,1822
's-Heer Hendrikskinderen,s-heer-hendrikskinderen,Goes,Zeeland,1823
's-Heerenberg,s-heerenberg,Montferland,Gelderland,2206
's-Heerenbroek,s-heerenbroek,Kampen,Overijssel,2899
's-Heerenhoek,s-heerenhoek,Borsele,Zeeland,1265
's-Hertogenbosch,s-hertogenbosch,'s-Hertogenbosch,Noord-Brabant,1595
't Bergje,t-bergje,Hardenberg,Overijssel,
't Buurtje,t-buurtje,Schagen,Noord-Holland,
't Coll,t-coll,Eindhoven,Noord-Brabant,
't Eind,t-eind,Oisterwijk,Noord-Brabant,
't Goy,t-goy,Houten,Utrecht,2054
't Haantje,t-haantje,Coevorden,Drenthe,2164
't Haantje,t-haantje,Hardenberg,Overijssel,
't Haantje,t-haantje,Leeuwarden,Fryslân,
't Haantje,t-haantje,Rijswijk,Zuid-Holland,
't Haantje,t-haantje,Steenbergen,Noord-Brabant,
't Harde,t-harde,Elburg,Gelderland,1845
't Hazeleger,t-hazeleger,Renkum,Gelderland,
't Heechhout,t-heechhout,Waadhoeke,Fryslân,
't Heeske,t-heeske,Peel en Maas,Limburg,
't Herselt,t-herselt,Land van Cuijk,Noord-Brabant,
't Hoekje,t-hoekje,Hulst,Zeeland,
't Hoekske,t-hoekske,Tilburg,Noord-Brabant,
't Hof (?),t-hof-,Heumen,Gelderland,
't Hof,t-hof,Laarbeek,Noord-Brabant,
't Jagertje,t-jagertje,Hulst,Zeeland,
't Kip,t-kip,Berkelland,Gelderland,
't Kret,t-kret,Westerkwartier,Groningen,
't Laar,t-laar,Epe,Gelderland,
't Lage van de Weg,t-lage-van-de-weg,Het Hogeland,Groningen,
't Leuken,t-leuken,Bergen,Limburg,
't Loo,t-loo,Dinkelland,Overijssel,
't Loo,t-loo,Oldebroek,Gelderland,
“ 't Loo Oldebroek”,-t-loo-oldebroek,Oldebroek,Gelderland,3068
't Marktje,t-marktje,Woensdrecht,Noord-Brabant,
't Noorden,t-noorden,Hoogeveen,Drenthe,
't Oever,t-oever,Putten,Gelderland,
't Rolder,t-rolder,Oost Gelre,Gelderland,
't Rooth,t-rooth,Eijsden-Margraten,Limburg,
't Stort,t-stort,Het Hogeland,Groningen,
't Veld,t-veld,Hollands Kroon,Noord-Holland,2520
Ven,ven,Meierijstad,Noord-Brabant,
't Villeken,t-villeken,Aalten,Gelderland,
't Vlaandertje,t-vlaandertje,Borsele,Zeeland,
't Vlot,t-vlot,Overbetuwe,Gelderland,
't Vosseneind,t-vosseneind,Heumen,Gelderland,
't Waar,t-waar,Oldambt,Groningen,1895
't Winkel,t-winkel,Tilburg,Noord-Brabant,
't Woud,t-woud,Nijkerk,Gelderland,
't Woudt,t-woudt,Midden-Delfland,Zuid-Holland,
't Wytfean,t-wytfean,Tytsjerksteradiel,Fryslân,
't Zand,t-zand,Alphen-Chaam,Noord-Brabant,
't Zand,t-zand,Land van Cuijk,Noord-Brabant,
't Zand,t-zand,Hattem,Gelderland,
't Zand,t-zand,Nijmegen,Gelderland,
't Zand,t-zand,Schagen,Noord-Holland,2758
't Zand,t-zand,Altena,Noord-Brabant,
't Zandstervoorwerk,t-zandstervoorwerk,Eemsdelta,Groningen,
't Zandt,t-zandt,Eemsdelta,Groningen,3458
Aadorp,aadorp,Almelo,Overijssel,1925
Aagtekerke,aagtekerke,Veere,Zeeland,2774
Aalbeek,aalbeek,Beekdaelen,Limburg,
Aalden,aalden,Coevorden,Drenthe,2145
Aaldonk,aaldonk,Gennep,Limburg,
Aalsmeer,aalsmeer,Aalsmeer,Noord-Holland,2571
Aalsmeerderbrug,aalsmeerderbrug,Haarlemmermeer,Noord-Holland,1600
Aalst,aalst,Buren,Gelderland,
Aalst,aalst,Waalre,Noord-Brabant,
Aalst,aalst,Zaltbommel,Gelderland,2626
Aalsum,aalsum,Westerkwartier,Groningen,
Aalsum,aalsum,Noardeast-Fryslân,Fryslân,3387
Aalten,aalten,Aalten,Gelderland,1193
Aam,aam,Overbetuwe,Gelderland,
Aan de Berg,aan-de-berg,Echt-Susteren,Limburg,
Aan de Berg,aan-de-berg,Roerdalen,Limburg,
Aan de Bergen,aan-de-bergen,Leudal,Limburg,
Aan de Maas,aan-de-maas,Meerssen,Limburg,
Aan de Popelaar,aan-de-popelaar,Echt-Susteren,Limburg,
Aan de Rijksweg,aan-de-rijksweg,Roermond,Limburg,
Aan de School,aan-de-school,Echt-Susteren,Limburg,
Aan de Zuwe,aan-de-zuwe,De Ronde Venen,Utrecht,
Aan Reijans,aan-reijans,Echt-Susteren,Limburg,
Aanschot,aanschot,Eindhoven,Noord-Brabant,
Aardenburg,aardenburg,Sluis,Zeeland,2961
Aarlanderveen,aarlanderveen,Alphen aan den Rijn,Zuid-Holland,1079
Aarle,aarle,Best,Noord-Brabant,
Aarle-Rixtel,aarle-rixtel,Laarbeek,Noord-Brabant,1445
Aartswoud,aartswoud,Opmeer,Noord-Holland,2788
Aasterberg,aasterberg,Echt-Susteren,Limburg,
Abbega,abbega,Súdwest-Fryslân,Fryslân,2400
Abbegaasterketting,abbegaasterketting,Súdwest-Fryslân,Fryslân,
Abbekerk,abbekerk,Medemblik,Noord-Holland,3147
Abbekinderen,abbekinderen,Goes,Zeeland,
Abbenbroek,abbenbroek,Nissewaard,Zuid-Holland,1385
Abbenes,abbenes,Haarlemmermeer,Noord-Holland,1608
Abbengawier,abbengawier,Leeuwarden,Fryslân,
Abbestede,abbestede,Schagen,Noord-Holland,
Abbeweer,abbeweer,Het Hogeland,Groningen,
Abcoude,abcoude,De Ronde Venen,Utrecht,1332
Abcoven,abcoven,Goirle,Noord-Brabant,
Absdale,absdale,Hulst,Zeeland,
Abshoven,abshoven,Sittard-Geleen,Limburg,
Abtswoude,abtswoude,Delft,Zuid-Holland,
Achlum,achlum,Waadhoeke,Fryslân,1364
Acht,acht,Eindhoven,Noord-Brabant,
Achter het Klooster,achter-het-klooster,Leudal,Limburg,
Achterberg,achterberg,Rhenen,Utrecht,
Achterbos,achterbos,De Ronde Venen,Utrecht,
Achterbosch,achterbosch,Asten,Noord-Brabant,
Achterbosch,achterbosch,Laarbeek,Noord-Brabant,
Achterbroek,achterbroek,Krimpenerwaard,Zuid-Holland,
Achterbroek,achterbroek,Someren,Noord-Brabant,
Achterdiep,achterdiep,Midden-Groningen,Groningen,
Achterdijk,achterdijk,Moerdijk,Noord-Brabant,
Achterdijk,achterdijk,Vijfheerenlanden,Utrecht,
Achterdrempt,achterdrempt,Bronckhorst,Gelderland,
Achtereind,achtereind,Waalre,Noord-Brabant,
Achterhoek,achterhoek,Hof van Twente,Overijssel,
Achterhoek,achterhoek,Nijkerk,Gelderland,
Achter-Lindt,achter-lindt,Zwijndrecht,Zuid-Holland,
Achterste Brug,achterste-brug,Valkenswaard,Noord-Brabant,
Achterste Diesdonk,achterste-diesdonk,Asten,Noord-Brabant,
Achterste Erm,achterste-erm,Coevorden,Drenthe,
Achterste Heide,achterste-heide,Oss,Noord-Brabant,
Achterste Heikant,achterste-heikant,Reusel-De Mierden,Noord-Brabant,
Achterste Hermalen,achterste-hermalen,Meierijstad,Noord-Brabant,
Achterste Rith,achterste-rith,Breda,Noord-Brabant,
Achterstehoek,achterstehoek,Duiven,Gelderland,
Achter-Thesinge,achter-thesinge,Groningen,Groningen,
Achterveld,achterveld,Barneveld,Gelderland,1063
Achterveld,achterveld,Leusden,Utrecht,2640
Achterwetering,achterwetering,De Bilt,Utrecht,
Achthoven,achthoven,Vijfheerenlanden,Utrecht,
Achthoven-West,achthoven-west,Montfoort,Utrecht,
Achthuizen,achthuizen,Goeree-Overflakkee,Zuid-Holland,2131
Achtmaal,achtmaal,Zundert,Noord-Brabant,3493
Achttienhoven,achttienhoven,De Bilt,Utrecht,
Achttienhoven,achttienhoven,Nieuwkoop,Zuid-Holland,
Acquoy,acquoy,West Betuwe,Gelderland,3527
Adorp,adorp,Het Hogeland,Groningen,2464
Aduard,aduard,Westerkwartier,Groningen,2114
Aduarderzijl,aduarderzijl,Westerkwartier,Groningen,
Aegum,aegum,Leeuwarden,Fryslân,2524
Aekinga,aekinga,Ooststellingwerf,Fryslân,
Aerdenburg,aerdenburg,Zevenaar,Gelderland,
Aerdenhout,aerdenhout,Bloemendaal,Noord-Holland,2652
Aerdt,aerdt,Zevenaar,Gelderland,2976
Afferden,afferden,Bergen,Limburg,
“Afferden L.”,afferden-l,Bergen,Limburg,1122
Afferden,afferden,Druten,Gelderland,2902
Agelo,agelo,Dinkelland,Overijssel,1407
Agodorp,agodorp,Westerwolde,Groningen,
Aijen,aijen,Bergen,Limburg,
Akersloot,akersloot,Castricum,Noord-Holland,2267
Akker,akker,Roosendaal,Noord-Brabant,
Akkerput,akkerput,Sluis,Zeeland,
Akkrum,akkrum,Heerenveen,Fryslân,2525
Akmarijp,akmarijp,De Fryske Marren,Fryslân,2484
Albergen,albergen,Tubbergen,Overijssel,1283
Alblasserdam,alblasserdam,Alblasserdam,Zuid-Holland,2386
Alde Leie,alde-leie,Leeuwarden,Fryslân,3224
Aldeboarn,aldeboarn,Heerenveen,Fryslân,2532
Aldeboarn,aldeboarn,Heerenveen,Fryslân,
Ald Terp,ald-terp,Noardeast-Fryslân,Fryslân,
Aldtsjerk,aldtsjerk,Tytsjerksteradiel,Fryslân,2441
Aldwâld,aldwld,Noardeast-Fryslân,Fryslân,3313
Aldwâldmersyl,aldwldmersyl,Noardeast-Fryslân,Fryslân,
Alem,alem,Maasdriel,Gelderland,1623
Alendorp,alendorp,Utrecht,Utrecht,
Alinghuizen,alinghuizen,Het Hogeland,Groningen,
Alkmaar,alkmaar,Alkmaar,Noord-Holland,2348
Allersma,allersma,Westerkwartier,Groningen,
Allingawier,allingawier,Súdwest-Fryslân,Fryslân,2301
Almelo,almelo,Almelo,Overijssel,1924
Almen,almen,Lochem,Gelderland,1334
Almere,almere,Almere,Flevoland,1270
Almere-Stad,almere-stad,Almere,Flevoland,
Almere-Buiten,almere-buiten,Almere,Flevoland,
Almere-Haven,almere-haven,Almere,Flevoland,
Almere-Hout,almere-hout,Almere,Flevoland,
Almere-Poort,almere-poort,Almere,Flevoland,
Almere-Pampus,almere-pampus,Almere,Flevoland,
Almkerk,almkerk,Altena,Noord-Brabant,3300
Alphen,alphen,Alphen-Chaam,Noord-Brabant,3432
Alphen,alphen,West Maas en Waal,Gelderland,1766
Alphen aan den Rijn,alphen-aan-den-rijn,Alphen aan den Rijn,Zuid-Holland,1080
Alphen-Oosterwijk,alphen-oosterwijk,Alphen-Chaam,Noord-Brabant,
Altena,altena,Noordenveld,Drenthe,
Alteveer,alteveer,De Wolden,Drenthe,3160
Alteveer,alteveer,Hoogeveen,Drenthe,
“Alteveer gem Hoogeveen”,alteveer-gem-hoogeveen,Hoogeveen,Drenthe,1810
Alteveer,alteveer,Noordenveld,Drenthe,1633
Alteveer,alteveer,Stadskanaal,Groningen,3079
Altforst,altforst,West Maas en Waal,Gelderland,1767
Alting,alting,Midden-Drenthe,Drenthe,
Altweert,altweert,Weert,Limburg,
Altweerterheide,altweerterheide,Weert,Limburg,
Alverna,alverna,Wijchen,Gelderland,
Alvershool,alvershool,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,
Ambt delden,ambt-delden,Hof van Twente,Overijssel,1438
Ameide,ameide,Vijfheerenlanden,Utrecht,2106
Amen,amen,Aa en Hunze,Drenthe,1147
America,america,Horst aan de Maas,Limburg,1026
Amerika,amerika,Noordenveld,Drenthe,
Amerongen,amerongen,Utrechtse Heuvelrug,Utrecht,3337
Amersfoort,amersfoort,Amersfoort,Utrecht,1664
Ammerstol,ammerstol,Krimpenerwaard,Zuid-Holland,2367
Ammerzoden,ammerzoden,Maasdriel,Gelderland,1624
Ampsen,ampsen,Lochem,Gelderland,
Amstelhoek,amstelhoek,De Ronde Venen,Utrecht,3547
Amstelveen,amstelveen,Amstelveen,Noord-Holland,1050
Amstenrade,amstenrade,Beekdaelen,Limburg,2099
Amsterdam,amsterdam,Amsterdam,Noord-Holland,3594
Amsterdam-Duivendrecht,amsterdam-duivendrecht,Ouder-Amstel,Noord-Holland,3569
Amsterdamscheveld,amsterdamscheveld,Emmen,Drenthe,
Amsweer,amsweer,Eemsdelta,Groningen,
Andel,andel,Altena,Noord-Brabant,3301
Andelst,andelst,Overbetuwe,Gelderland,1862
Anderen,anderen,Aa en Hunze,Drenthe,1148
Andijk,andijk,Medemblik,Noord-Holland,1053
Ane,ane,Hardenberg,Overijssel,1537
Anerveen,anerveen,Hardenberg,Overijssel,1538
Anevelde,anevelde,Hardenberg,Overijssel,1539
Angeren,angeren,Lingewaard,Gelderland,3133
Angerlo,angerlo,Zevenaar,Gelderland,1299
Anholt,anholt,De Wolden,Drenthe,
Ankeveen,ankeveen,Wijdemeren,Noord-Holland,2999
Ankum,ankum,Dalfsen,Overijssel,
Anloo,anloo,Aa en Hunze,Drenthe,1149
Anna Jacobapolder,anna-jacobapolder,Tholen,Zeeland,
Annabuorren,annabuorren,Súdwest-Fryslân,Fryslân,
Anna Paulowna,anna-paulowna,Hollands Kroon,Noord-Holland,3185
Annen,annen,Aa en Hunze,Drenthe,1150
Annendaal,annendaal,Roerdalen,Limburg,
Annerveenschekanaal,annerveenschekanaal,Aa en Hunze,Drenthe,1151
Anneville,anneville,Alphen-Chaam,Noord-Brabant,
Anreep,anreep,Assen,Drenthe,
Ansen,ansen,De Wolden,Drenthe,3161
Ansen,ansen,Westerveld,Drenthe,3104
Apeldoorn,apeldoorn,Apeldoorn,Gelderland,3560
Apenhuizen,apenhuizen,Deventer,Overijssel,
Appel,appel,Nijkerk,Gelderland,
Appelscha,appelscha,Ooststellingwerf,Fryslân,1753
Appeltern,appeltern,West Maas en Waal,Gelderland,1768
Appen,appen,Voorst,Gelderland,
